Code,Decoder,Error_rate,Shots,Fails,BP_hyperparams
n90k8d10,BP,0.004,1000000,58413,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n90k8d10,BP,0.005,100000,16610,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n90k8d10,BP,0.006,100000,34196,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n90k8d10,BP,0.007,10000,5580,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n90k8d10,BP,0.008,10000,7615,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n90k8d10,BP,0.009,10000,8872,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n90k8d10,BP,0.01,10000,9570,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n90k8d10,AutBP-45,0.0008,10000000,195,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n90k8d10,AutBP-45,0.0009,8805000,225,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n90k8d10,AutBP-45,0.001,10000000,441,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n90k8d10,AutBP-45,0.0015,8780000,1820,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n90k8d10,AutBP-45,0.002,5000000,3756,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n90k8d10,AutBP-45,0.003,1000000,5571,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n90k8d10,AutBP-45,0.004,755000,19759,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n90k8d10,AutBP-45,0.005,100000,8731,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n90k8d10,AutBP-45,0.006,100000,20505,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n90k8d10,AutBP-45,0.007,10000,3799,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n90k8d10,AutBP-45,0.008,10000,5669,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n90k8d10,AutBP-45,0.009,10000,7004,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n90k8d10,AutBP-45,0.01,10000,7866,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n90k8d10,BP+OSD0,0.0008,10000000,105,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n90k8d10,BP+OSD0,0.0009,10000000,181,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n90k8d10,BP+OSD0,0.001,10000000,310,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n90k8d10,BP+OSD0,0.0015,9915000,1655,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n90k8d10,BP+OSD0,0.002,5000000,3491,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n90k8d10,BP+OSD0,0.003,295000,1702,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n90k8d10,BP+OSD0,0.004,85000,2422,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n90k8d10,BP+OSD0,0.005,30000,2886,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n90k8d10,BP+OSD0,0.006,15000,3498,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n90k8d10,BP+OSD0,0.007,10000,4299,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n90k8d10,BP+OSD0,0.008,5000,3268,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n90k8d10,BP+OSD0,0.009,5000,4124,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n90k8d10,BP+OSD0,0.01,5000,4593,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP,0.0008,10000000,268,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP,0.0009,10000000,399,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP,0.001,10000000,586,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP,0.0015,10000000,3399,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP,0.002,5000000,6802,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP,0.003,1000000,11080,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP,0.004,495000,26064,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP,0.005,100000,17468,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP,0.006,90000,35877,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP,0.007,10000,6746,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP,0.008,10000,8730,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP,0.009,10000,9700,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,BP,0.01,10000,9939,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,AutBP-72,0.0008,10000000,65,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,AutBP-72,0.0009,10000000,90,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,AutBP-72,0.001,10000000,133,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,AutBP-72,0.0015,10000000,667,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,AutBP-72,0.002,5000000,1497,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,AutBP-72,0.003,1000000,2975,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,AutBP-72,0.004,100000,1794,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,AutBP-72,0.005,30000,2590,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,AutBP-72,0.006,75000,18869,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,AutBP-72,0.007,10000,5211,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n144k12d12,AutBP-72,0.008,5000,3914,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
